ID RainfallDepthPath PathLength XStart YStart XEnd YEnd IntervalNumber Frequency
2870 0.781854592387222 3.56241 6.77062 52.24179 6.74149 52.21523 1670 38.084
1419 0 0.41135 6.89799 52.21914 6.90383 52.22005 1670 39.252
1423 NA 2.34031 6.7588 52.24851 6.78369 52.26297 1670 38.077
1420 1.36346290617439 1.18868 6.78958 52.25056 6.77435 52.25574 1670 37.912
2884 0.251502141394584 2.04664 6.64068 52.33677 6.6699 52.34101 1670 37.999
1429 0.804409454609473 3.88714 6.7588 52.24851 6.74149 52.21523 1670 37.912
145 0 1.14329 4.31086 52.03785 4.32191 52.03016 1670 39.256
228 0.0104031754464908 4.61284 4.40021 52.08385 4.46483 52.09547 1670 39.239
235 0.113840431025302 1.67819 4.34099 51.98498 4.35449 51.99756 1670 39.228
244 NA 0.78402 4.35449 51.99756 4.34582 51.99297 1670 37.94
229 0.090206937780563 3.55608 4.37508 52.11393 4.37514 52.08196 1670 39.375
230 0 1.9765 4.39901 52.07201 4.37514 52.08196 1670 39.343
241 0 0.92709 4.67704 52.14403 4.68016 52.15214 1670 39.375
231 NA 0.89415 4.64683 52.12263 4.63641 52.12748 1670 37.978
152 0.278660396724651 1.74575 4.31086 52.03785 4.31691 52.05309 1670 39.239
233 0.366616007140351 1.42215 4.38982 52.03968 4.40737 52.04649 1670 38.077
223 0 0.61897 4.65782 52.14924 4.66063 52.15452 1670 39.361
142 0.22871848906082 2.09379 4.39937 52.09343 4.37514 52.08196 1670 39.343
238 0.467323245182055 2.46431 4.66843 52.11736 4.63641 52.12748 1670 37.992
240 0.35965905761257 2.16804 4.39114 52.06516 4.37514 52.08196 1670 39.337
255 0.220301322855554 0.95686 4.368 52.03913 4.35558 52.04305 1670 37.992
256 0.412626569497865 1.27572 4.35449 51.99756 4.37257 52.00021 1670 37.986
239 0.237950591194892 2.0266 4.36997 52.06403 4.37514 52.08196 1670 39.245
3259 0.172031596190024 2.95676 4.67341 52.18634 4.71454 52.17813 1670 37.912
236 0.0725200793871103 6.54215 4.40737 52.04649 4.35449 51.99756 1670 26.372
248 0.108926824285948 8.79473 4.48251 51.99996 4.35449 51.99756 1670 19.067
245 0.106173680830336 6.8543 4.70763 52.19771 4.66519 52.1419 1670 27.5
243 0.109813266060362 7.44754 4.45869 51.97903 4.35449 51.99756 1670 26.078
2906 0.0425538552768174 4.61284 4.46483 52.09547 4.40021 52.08385 1670 37.978
237 0.314119920372611 1.55741 4.65782 52.14924 4.64653 52.13708 1670 39.256
246 0.373463362978179 3.47498 4.70683 52.16648 4.70763 52.19771 1670 37.94
247 0.0247308100981865 2.04163 4.60259 52.13311 4.63137 52.13793 1670 39.172
242 0.344410066175053 1.42215 4.40737 52.04649 4.38982 52.03968 1670 39.337
3260 0.0285717444858915 4.97564 4.67341 52.18634 4.66519 52.1419 1670 26.327
266 0.233977466592477 6.54215 4.35449 51.99756 4.40737 52.04649 1670 25.364
3261 0.100713800343266 8.13028 4.472 51.98867 4.35449 51.99756 1670 26.113
250 0.439556096193138 3.47498 4.70763 52.19771 4.70683 52.16648 1670 39.2
252 0 2.95676 4.71454 52.17813 4.67341 52.18634 1670 39.172
249 0.193457167304497 2.46431 4.63641 52.12748 4.66843 52.11736 1670 39.252
257 0.217388438131288 1.65195 4.35449 51.99756 4.37226 52.00757 1670 38.101
254 0.391079767954468 0.89415 4.63641 52.12748 4.64683 52.12263 1670 39.239
258 0.211701389427829 7.44754 4.35449 51.99756 4.45869 51.97903 1670 25.07
259 0.134632501598285 5.91205 4.35449 51.99756 4.34662 52.05048 1670 37.986
260 0.0397577021038421 8.79473 4.35449 51.99756 4.48251 51.99996 1670 18.058
261 0 1.33415 4.35449 51.99756 4.36121 52.00881 1670 37.999
3262 0.194275062378044 8.13028 4.35449 51.99756 4.472 51.98867 1670 25.105
262 NA 1.46147 4.35449 51.99756 4.35501 52.01069 1670 38.077
263 0.289730571031191 1.78888 4.35449 51.99756 4.35846 51.98166 1670 37.986
264 NA 0.84529 4.35449 51.99756 4.34508 52.00245 1670 37.947
265 NA 0.98829 4.35449 51.99756 4.34993 52.00598 1670 37.079
268 0.571814263110308 2.16804 4.37514 52.08196 4.39114 52.06516 1670 38.077
267 0.244469077368734 2.09379 4.37514 52.08196 4.39937 52.09343 1670 38.084
269 0 1.9765 4.37514 52.08196 4.39901 52.07201 1670 38.084
270 0.254285244536888 2.0266 4.37514 52.08196 4.36997 52.06403 1670 37.986
271 0.0149131459762134 3.55608 4.37514 52.08196 4.37508 52.11393 1670 38.115
272 0.201026752131568 1.044 4.5098 52.0555 4.52477 52.05377 1670 37.999
273 0.179628190251522 2.82066 4.5098 52.0555 4.46867 52.05524 1670 38.017
274 0.0958700512405768 3.61459 4.5098 52.0555 4.54129 52.02945 1670 38.084
2978 0.639043388892095 1.26753 4.74357 52.64272 4.76222 52.64375 1670 39.172
64 0.320346354561645 1.6178 4.73678 52.65107 4.73663 52.63654 1670 38.077
63 0.639584099356987 3.36568 4.7255 52.63138 4.76098 52.61019 1670 37.069
1424 0.0929722079115463 3.74773 6.58036 52.36185 6.63486 52.36649 1670 37.968
1425 0.230054376763942 4.20837 6.46079 52.26022 6.51048 52.28261 1670 37.94
1426 0.179686189195549 4.20837 6.51048 52.28261 6.46079 52.26022 1670 39.2
1558 0.419782840087191 6.24815 6.7588 52.24851 6.82124 52.28958 1670 26.372
1427 0.27857921318176 4.05782 6.56952 52.28703 6.51048 52.28261 1670 37.912
1433 0.187016126311498 4.05782 6.51048 52.28261 6.56952 52.28703 1670 39.172
1566 1.20583216652829 1.332 6.7588 52.24851 6.77435 52.25574 1670 37.992
1418 0.318726977312618 0.629 6.87373 52.20896 6.86576 52.21179 1670 39.375
3052 0 2.26503 6.6289 52.40262 6.59689 52.40819 1670 39.172
1556 0.805765453833113 4.96776 6.69162 52.2531 6.6269 52.23273 1670 39.252
1431 0 1.95784 6.63339 52.55836 6.61968 52.57385 1670 37.912
1430 NA 2.34031 6.78369 52.26297 6.7588 52.24851 1670 39.337
1574 0 1.54149 6.63339 52.55836 6.63266 52.57221 1670 37.996
1435 0.469647804787688 1.38254 6.50082 52.35991 6.48054 52.35941 1670 39.172
1557 0.224769380247342 2.95829 6.66757 52.384 6.63486 52.36649 1670 37.94
1560 0.282635547820279 2.74449 6.44541 52.38836 6.47044 52.36903 1670 39.172
1580 0 2.9639 6.63339 52.55836 6.63996 52.5847 1670 37.978
1565 0.363079308198149 1.87259 6.66757 52.384 6.68742 52.37235 1670 37.912
1582 0 10.25292 6.63339 52.55836 6.62613 52.65041 1670 19.04
1561 0.526312985440383 3.88714 6.74149 52.21523 6.7588 52.24851 1670 39.172
1434 0.382658614734217 1.29308 6.81459 52.27869 6.82124 52.28958 1670 39.239
1559 0.728625709360266 3.09395 6.81876 52.26181 6.82124 52.28958 1670 39.337
1562 1.73419418718992 1.18868 6.77435 52.25574 6.78958 52.25056 1670 39.172
3054 1.4368691476476 4.14129 6.79144 52.29053 6.73119 52.29511 1670 38.077
1568 1.11674152668314 3.56241 6.74149 52.21523 6.77062 52.24179 1670 39.343
1563 0.532471578869981 4.24872 6.78341 52.41126 6.84176 52.39767 1670 37.912
1569 0.240559591344783 7.18348 6.43982 52.43238 6.48948 52.37541 1670 26.39
1577 0.392184333360901 4.24872 6.84176 52.39767 6.78341 52.41126 1670 39.172
1576 0.323386614098268 2.09192 6.48952 52.30254 6.51884 52.29701 1670 37.912
1581 0.604356848940991 3.05641 6.84176 52.39767 6.80605 52.38101 1670 39.267
1570 1.1376634999354 1.332 6.77435 52.25574 6.7588 52.24851 1670 39.252
1583 0.783329041699038 2.92831 6.64963 52.24777 6.69162 52.2531 1670 37.978
2885 0 2.09192 6.51884 52.29701 6.48952 52.30254 1670 39.172
1571 1.04807493130352 1.29308 6.82124 52.28958 6.81459 52.27869 1670 37.978
1572 0.309005495360112 2.04664 6.6699 52.34101 6.64068 52.33677 1670 39.26
1564 0.350216875227079 7.18348 6.48948 52.37541 6.43982 52.43238 1670 25.382
1381 0.0371579386831257 1.3885 6.51884 52.29701 6.5192 52.30949 1670 39.172
1573 0.243482984675503 2.74449 6.47044 52.36903 6.44541 52.38836 1670 37.912
1575 0.311093775322039 9.23068 6.63212 52.53093 6.71386 52.46464 1670 25.392
1578 0.736254014691839 3.09395 6.82124 52.28958 6.81876 52.26181 1670 38.077
1585 0.502476977737002 6.24815 6.82124 52.28958 6.7588 52.24851 1670 25.364
1567 0.255604251576814 9.23068 6.71386 52.46464 6.63212 52.53093 1670 26.401
2607 NA 0.94333 4.33024 52.09482 4.31654 52.09565 1670 39.337
2665 NA 0.52491 4.33059 52.08064 4.32561 52.07705 1670 39.403
2664 NA 0.51511 4.34143 52.08719 4.33393 52.08693 1670 39.252
2672 0 0.70911 4.31958 52.07171 4.31806 52.0654 1670 37.978
2667 0 1.28857 4.26693 52.09139 4.26769 52.10296 1670 39.172
2669 0 0.83371 4.28858 52.10984 4.28032 52.10434 1670 37.968
2668 0 0.83371 4.28032 52.10434 4.28858 52.10984 1670 39.228
2670 0 2.45057 4.30275 52.09958 4.28471 52.08056 1670 39.239
3105 0 1.36547 4.33024 52.09482 4.31072 52.09729 1670 39.2
2674 0 1.14166 4.3728 52.08516 4.36243 52.09319 1670 39.343
2675 NA 0.46787 4.31958 52.07171 4.32509 52.06923 1670 37.986
68 1.80432229465494 1.18957 4.78727 52.64932 4.78949 52.65993 1670 39.172
71 1.08051801502299 1.18957 4.78949 52.65993 4.78727 52.64932 1670 37.912
2988 0 1.32349 5.22294 52.69759 5.20336 52.69751 1670 39.172
76 0.291885848333121 4.59783 4.83512 52.68661 4.83098 52.64536 1670 39.337
77 0.379478104224405 4.0117 4.6422 52.66512 4.70135 52.66779 1670 37
78 0.188455956642473 4.30372 4.70555 52.56666 4.71688 52.5286 1670 37.912
81 0.946645124850286 1.25909 4.74525 52.62709 4.73354 52.6183 1670 37.912
79 0.233133807038002 4.30372 4.71688 52.5286 4.70555 52.56666 1670 39.172
67 0.355757301799434 4.07927 4.7304 52.90158 4.76704 52.93079 1670 37.912
80 1.12702733968341 1.70865 4.74932 52.61722 4.75156 52.63251 1670 37.94
88 0.612555150727912 3.51833 4.77045 52.67319 4.80509 52.69679 1670 39.172
83 0.195245125918244 1.07535 4.74932 52.61722 4.73354 52.6183 1670 37.968
2980 0.169633626562852 6.52428 4.68708 52.78336 4.78128 52.79668 1670 26.38
91 0.0484947960888356 1.07535 4.73354 52.6183 4.74932 52.61722 1670 39.228
85 0.187814624547907 2.54102 4.73398 52.55178 4.70555 52.56666 1670 39.2
73 0.288672381123001 1.68735 4.68492 52.60606 4.66652 52.59584 1670 39.252
84 0.142664205567584 2.32698 4.80605 52.78212 4.78128 52.79668 1670 39.2
87 0.575061733538881 2.86354 4.74357 52.64272 4.74932 52.61722 1670 39.172
95 0.64356794513392 1.25909 4.73354 52.6183 4.74525 52.62709 1670 39.172
89 0.159379708968258 6.96871 4.80605 52.78212 4.90919 52.78558 1670 26.372
74 0.267863896574674 1.93288 4.799 52.6739 4.77045 52.67319 1670 37.94
98 0.74295646981138 3.51833 4.80509 52.69679 4.77045 52.67319 1670 37.912
96 0.562098431406316 3.63571 4.7073 52.61081 4.76098 52.61019 1670 38.052
97 0.326433750141479 4.0117 4.70135 52.66779 4.6422 52.66512 1670 40
94 NA 0.59278 4.78466 52.79176 4.78128 52.79668 1670 39.172
99 0.0642386708722753 3.1243 5.05836 52.90844 5.02784 52.9296 1670 37.912
82 0 0.7454 4.799 52.6739 4.80355 52.68 1670 37.912
100 0.394718110053576 1.6178 4.73663 52.63654 4.73678 52.65107 1670 39.337
101 1.00848292164328 1.25915 4.75309 52.62044 4.76098 52.61019 1670 38.105
72 0.274828865099407 3.54057 4.96667 52.84659 5.01831 52.84069 1670 37.992
70 0.553919629454975 1.55552 5.03083 52.85244 5.01831 52.84069 1670 36.5
102 0 1.71276 5.27937 52.69297 5.29411 52.70549 1670 37.94
105 NA 5.65076 4.79769 53.05778 4.86906 53.08482 1670 25.382
104 0.395752580467869 4.07927 4.76704 52.93079 4.7304 52.90158 1670 39.172
106 1.09654529290543 5.65865 4.75778 52.95746 4.76262 53.00822 1670 25.382
168 0.328010420857034 3.85474 4.94532 52.65309 4.89361 52.63857 1670 39.239
165 0.612122921978464 4.03701 5.03748 52.74944 5.09209 52.76422 1670 37.905
162 0 1.99309 5.2732 52.70978 5.24952 52.69911 1670 39.179
161 0.163007304844967 6.78135 5.16253 52.69596 5.23433 52.73855 1670 26.418
164 0.0981599249142275 3.28308 5.01129 52.63572 5.05378 52.64995 1670 39.375
69 1.02042349194168 5.77523 4.94257 52.71259 4.89252 52.67052 1670 25.375
93 0.0787644489270855 4.0835 5.1341 52.73003 5.11068 52.6962 1670 39.2
86 0.242291027797885 4.59783 4.83098 52.64536 4.83512 52.68661 1670 38.077
175 0.271673935078015 5.56883 4.95506 52.70838 5.0327 52.69164 1670 25.41
163 0.0842701169000511 5.56883 5.0327 52.69164 4.95506 52.70838 1670 26.418
92 0.126734893307799 6.78135 5.23433 52.73855 5.16253 52.69596 1670 25.41
2679 0 2.03219 4.32183 52.06417 4.35043 52.06896 1670 37.992
2676 0.0387396806150571 1.32047 4.35043 52.06896 4.33835 52.0782 1670 39.343
2671 0 1.09922 4.33024 52.09482 4.3142 52.0949 1670 39.431
2677 0 4.37773 4.36516 52.11864 4.3142 52.0949 1670 39.375
2704 0 1.36547 4.31072 52.09729 4.33024 52.09482 1670 37.94
2680 NA 0.79682 4.36243 52.09319 4.36242 52.10036 1670 37.978
2683 0 0.83274 4.32234 52.08934 4.3142 52.0949 1670 39.431
2678 0 0.85313 4.28032 52.10434 4.28317 52.1118 1670 39.375
3280 0 1.40439 4.25763 52.09735 4.27134 52.10674 1670 39.26
2681 0 2.03219 4.35043 52.06896 4.32183 52.06417 1670 39.252
2682 0 2.52528 4.35035 52.09049 4.3142 52.0949 1670 39.403
2684 0 1.70685 4.31775 52.08145 4.29587 52.07412 1670 37.94
2688 0 0.85313 4.28317 52.1118 4.28032 52.10434 1670 38.115
2685 0.182209560540383 1.14166 4.36243 52.09319 4.3728 52.08516 1670 38.084
2689 0 0.87829 4.26769 52.10296 4.28032 52.10434 1670 38.115
2690 0 0.74487 4.3142 52.0949 4.31302 52.08824 1670 38.115
2708 NA 0.70911 4.31806 52.0654 4.31958 52.07171 1670 39.239
2700 0 3.35935 4.36242 52.10036 4.3142 52.0949 1670 39.403
2691 0.0125852761937258 3.80722 4.35043 52.06896 4.3142 52.0949 1670 39.403
2696 0.0421635955601702 1.32047 4.33835 52.0782 4.35043 52.06896 1670 38.084
2695 0 1.84587 4.26769 52.10296 4.25616 52.08797 1670 37.94
2699 0 0.47555 4.28993 52.11278 4.28317 52.1118 1670 39.2
2673 0 6.51024 4.34863 52.16229 4.28795 52.11723 1670 26.372
3029 0 0.86677 4.28032 52.10434 4.29214 52.10712 1670 38.325
3281 0 1.40439 4.27134 52.10674 4.25763 52.09735 1670 37.999
2705 0.0395665549842555 4.93839 4.34694 52.11153 4.32509 52.06923 1670 37.999
2698 0.0809414335252762 2.32507 4.32449 52.08191 4.34328 52.06452 1670 39.172
2709 NA 0.51511 4.33393 52.08693 4.34143 52.08719 1670 37.992
2707 NA 0.4631 4.33212 52.06817 4.32572 52.0695 1670 39.239
2710 0 0.46787 4.32509 52.06923 4.31958 52.07171 1670 39.245
2701 0 1.28857 4.26769 52.10296 4.26693 52.09139 1670 37.912
2714 0 1.53157 4.31178 52.08121 4.3142 52.0949 1670 39.337
3251 0 1.60294 4.32509 52.06923 4.33736 52.05697 1670 39.34
2706 NA 0.4631 4.32572 52.0695 4.33212 52.06817 1670 37.978
2711 0 1.4667 4.32661 52.08416 4.3142 52.0949 1670 39.2
2716 0.0138550823535718 3.80722 4.3142 52.0949 4.35043 52.06896 1670 38.143
2702 0 3.72562 4.28234 52.11402 4.28471 52.08056 1670 39.375
2687 0 1.16111 4.28795 52.11723 4.29214 52.10712 1670 39.249
2712 0 4.93839 4.32509 52.06923 4.34694 52.11153 1670 39.26
2713 0 0.49632 4.33212 52.06817 4.32509 52.06923 1670 38.164
3252 NA 0.49632 4.32509 52.06923 4.33212 52.06817 1670 39.424
2694 0 6.51024 4.28795 52.11723 4.34863 52.16229 1670 25.364
3249 0 1.60749 4.32449 52.08191 4.3142 52.0949 1670 39.228
2715 0 0.86634 4.33212 52.06817 4.34328 52.06452 1670 39.2
2717 0 4.37773 4.3142 52.0949 4.36516 52.11864 1670 38.115
2776 0 0.83274 4.3142 52.0949 4.32234 52.08934 1670 38.171
2777 0 1.09922 4.3142 52.0949 4.33024 52.09482 1670 38.171
2778 0 3.35935 4.3142 52.0949 4.36242 52.10036 1670 38.143
2779 0 2.52528 4.3142 52.0949 4.35035 52.09049 1670 38.143
2782 0 1.60749 4.3142 52.0949 4.32449 52.08191 1670 37.968
2783 0 1.53157 4.3142 52.0949 4.31178 52.08121 1670 38.077
2784 0 2.22908 4.3142 52.0949 4.28262 52.09008 1670 38.084
432 0.256607172085821 0.7797 6.12432 52.78748 6.12464 52.79448 1670 39.172
436 0 3.95161 6.43904 52.66624 6.3897 52.68527 1670 39.172
431 0.0256046958850242 6.12482 6.1211 52.83226 6.09447 52.77964 1670 25.354
170 0.0438456429033737 1.28639 4.75452 52.94815 4.748 52.93728 1670 37.912
167 0.0663980507680733 3.01451 5.09888 52.64421 5.07679 52.66774 1670 37.978
103 0.108287789619528 3.01451 5.07679 52.66774 5.09888 52.64421 1670 39.239
65 0.102723422599145 1.99309 5.24952 52.69911 5.2732 52.70978 1670 37.919
169 1.02558643404831 5.65865 4.76262 53.00822 4.75778 52.95746 1670 26.39
171 0.572075851181705 4.03701 5.09209 52.76422 5.03748 52.74944 1670 39.165
66 0.0402794680570967 1.28639 4.748 52.93728 4.75452 52.94815 1670 39.172
174 0.0297774798816857 4.72495 4.84833 52.60626 4.89361 52.63857 1670 26.418
